"uniprotids","Entanglement","Length","Essential","Total_Mutations_n","Path_Mutations_m","p_hat_m_div_n"
"A8K2U0","Yes",1454,"No",52,0,0
"O00206","Yes",839,"No",14,0,0
"O00255","Yes",615,"No",133,125,0.93984962406015
"O00429","Yes",736,"No",33,32,0.96969696969697
"O00459","Yes",728,"No",49,13,0.26530612244898
"O00522","Yes",736,"No",19,8,0.421052631578947
"O00571","Yes",662,"No",113,108,0.955752212389381
"O14649","Yes",394,"No",13,8,0.615384615384615
"O14746","Yes",1132,"No",63,37,0.587301587301587
"O14920","Yes",756,"No",15,1,0.0666666666666667
"O14958","Yes",399,"No",16,10,0.625
"O15118","Yes",1278,"No",196,178,0.908163265306122
"O15553","Yes",781,"No",18,11,0.611111111111111
"O43541","Yes",496,"No",26,14,0.538461538461538
"O43586","Yes",416,"No",15,5,0.333333333333333
"O60313","Yes",960,"No",108,65,0.601851851851852
"O60488","Yes",711,"No",13,4,0.307692307692308
"O60494","Yes",1400,"No",35,12,0.342857142857143
"O60603","Yes",784,"No",12,0,0
"O60610","No",1272,"No",17,2,0.117647058823529
"O60674","Yes",1132,"No",19,6,0.315789473684211
"O60706","Yes",1549,"No",36,31,0.861111111111111
"O60826","No",627,"No",20,3,0.15
"O60828","No",265,"No",10,6,0.6
"O75072","Yes",461,"No",15,9,0.6
"O75083","Yes",606,"No",14,8,0.571428571428571
"O75094","Yes",1523,"No",16,1,0.0625
"O75146","Yes",1068,"No",10,0,0
"O75155","No",1236,"No",17,0,0
"O75161","Yes",1426,"No",30,4,0.133333333333333
"O75208","No",318,"No",11,1,0.0909090909090909
"O75419","Yes",566,"Yes",12,5,0.416666666666667
"O75581","Yes",1613,"No",23,8,0.347826086956522
"O75874","Yes",414,"No",14,5,0.357142857142857
"O75907","No",488,"No",12,6,0.5
"O75923","Yes",2080,"No",162,87,0.537037037037037
"O76082","Yes",557,"No",112,98,0.875
"O95140","Yes",757,"No",132,126,0.954545454545455
"O95255","Yes",1503,"No",129,93,0.720930232558139
"O95363","Yes",451,"No",33,23,0.696969696969697
"O95450","Yes",1211,"No",18,2,0.111111111111111
"O95477","Yes",2261,"No",74,16,0.216216216216216
"O95528","Yes",541,"No",27,12,0.444444444444444
"O95622","Yes",1261,"No",59,25,0.423728813559322
"O95630","Yes",424,"No",10,7,0.7
"O95786","Yes",925,"No",23,5,0.217391304347826
"O95822","Yes",493,"No",19,5,0.263157894736842
"O95967","No",443,"No",17,13,0.764705882352941
"P00156","Yes",380,"NT",135,3,0.0222222222222222
"P00395","No",513,"NT",74,6,0.0810810810810811
"P00403","Yes",227,"NT",45,3,0.0666666666666667
"P00414","No",261,"NT",69,1,0.0144927536231884
"P00441","No",154,"Yes",101,101,1
"P00488","Yes",732,"No",28,17,0.607142857142857
"P00533","Yes",1210,"No",30,14,0.466666666666667
"P00734","Yes",622,"No",29,22,0.758620689655172
"P00747","Yes",810,"No",22,8,0.363636363636364
"P00748","Yes",615,"No",15,5,0.333333333333333
"P00749","Yes",431,"No",18,0,0
"P00751","Yes",764,"No",13,1,0.0769230769230769
"P00797","Yes",406,"No",10,7,0.7
"P00813","Yes",363,"No",50,42,0.84
"P00846","No",226,"NT",168,16,0.0952380952380952
"P01008","Yes",464,"No",70,62,0.885714285714286
"P01009","Yes",418,"No",71,21,0.295774647887324
"P01019","Yes",485,"No",14,2,0.142857142857143
"P01024","Yes",1663,"No",16,9,0.5625
"P01111","Yes",189,"No",22,21,0.954545454545455
"P01112","Yes",189,"No",35,28,0.8
"P01116","Yes",189,"No",64,61,0.953125
"P01130","Yes",860,"No",731,687,0.939808481532148
"P01137","Yes",390,"No",15,11,0.733333333333333
"P01185","No",164,"No",27,22,0.814814814814815
"P01241","Yes",217,"No",17,11,0.647058823529412
"P01889","No",362,"No",10,0,0
"P01911","No",266,"No",17,1,0.0588235294117647
"P02545","No",664,"No",207,206,0.995169082125604
"P02647","No",267,"No",21,17,0.80952380952381
"P02649","No",317,"No",21,16,0.761904761904762
"P02675","Yes",491,"No",11,7,0.636363636363636
"P02679","Yes",453,"No",21,17,0.80952380952381
"P02753","Yes",201,"No",10,10,1
"P02765","No",367,"No",13,1,0.0769230769230769
"P02766","Yes",147,"No",111,108,0.972972972972973
"P02768","No",609,"No",14,7,0.5
"P02788","Yes",710,"No",14,0,0
"P03886","No",318,"NT",83,11,0.132530120481928
"P03891","Yes",347,"NT",92,1,0.0108695652173913
"P03905","Yes",459,"NT",60,2,0.0333333333333333
"P03915","Yes",603,"NT",159,9,0.0566037735849057
"P03923","No",174,"NT",58,10,0.172413793103448
"P03950","No",147,"No",11,7,0.636363636363636
"P03951","Yes",625,"No",55,48,0.872727272727273
"P03956","Yes",469,"No",10,0,0
